Koen,Germán,Lars
MinorDuplication,Redundant,Merge_Common_Code
MinorPoorOutput,Enhance,New_Feature
MinorComplexCode,Simplify,Efficiency
MinorDeadDocs,Drop,Non_code
MinorMissingCode,Append,New_Feature
MinorDeadCode,Drop,Redundancy
MajorComplexCode,Redundant,Conventions
MinorPoorCode,Simplify,Readability
MinorUnnecessaryCode,Redundant,Redundancy
MinorPoorCode,Convention,Conventions
MinorPoorCode,Convention / Simplify,Conventions
MinorUnnecessaryCode,Drop,Redundancy
MinorUnnecessaryCode,Simplify,Conventions
MinorPoorCode,Readability,Non_code
MinorUnnecessaryCode,Drop,Bugs
MinorDeadCode,Drop,Redundancy
MinorPoorDocs,Readability,Non_code
ModerateComplexCode,Drop,Merge_Common_Code
MinorComplexCode,Simplify / Append,Efficiency
MinorPoorCode,Readability,Conventions
MinorPoorCode,Readability,Readability
MinorDeadCode,Drop,Redundancy
MinorPoorCode,Enhance,Bugs
MinorPoorNaming,Readability,Conventions
MinorUnnecessaryCode,Redundant,Redundancy
MinorPoorCode,Convention,Conventions
ModerateComplexCode,Append,Bugs
MinorUnnecessaryCode,Drop,Redundancy
MinorPoorDocs,Simplify,Merge_Common_Code
MinorUnnecessaryCode,Drop,Redundancy
MinorPoorCode,Convention,Non_code
MinorPoorCode,Readability,Readability
MinorPoorEfficiency,Enhance,Efficiency
MinorUnnecessaryCode,Drop,Efficiency
MinorPoorCode,Readability,Non_code
MinorPoorCode,Redundant,Merge_Common_Code
MinorPoorOutput,Readability,User_Interaction
MinorPoorNaming,Convention,Conventions
MinorPoorCode,Readability,Conventions
ModeratePoorCode,Drop / Convention,Conventions
MinorComplexCode,Simplify,Efficiency
MinorUnnecessaryCode,Drop,Redundancy
ModeratePoorDesign,Append,Efficiency
ModeratePoorDesign,Append,User_Interaction
ModeratePoorDesign,Append,Bugs
MinorPoorDesign,Simplify,Maintainability
ModeratePoorDesign,Enhance,Maintainability
ModeratePoorEfficiency,Enhance,Efficiency
ModeratePoorEfficiency,Enhance,Efficiency
MinorDeadCode,Drop / Enhance,Redundancy
MinorDuplication,Drop,Redundancy
,Enhance,Maintainability
MinorPoorEfficiency,Enhance,Efficiency
MinorMissingTests,Append,Testing
ModerateMissingTests,Append,Testing
ModeratePoorTests,Enhance,Bugs
ModeratePoorTests,Append,Bugs
MinorMissingTests,Append,Testing
MinorPoorDesign,Append,Redundancy
MinorPoorDesign,Fix,Bugs
ModeratePoorDesign,Simplify,Maintainability
MinorPoorDesign,Redundant,Merge_Common_Code
MinorPoorDesign,Enhance,Efficiency
MinorDeadCode,Drop,Non_code
MinorMissingDocs,Simplify / Enhance,Non_code
MinorUnnecessaryDocs,Drop,Non_code
MinorOutdatedDocs,Drop,Non_code
MinorMissingDocs,Append,Non_code
MinorMissingDocs; MinorPoorCode,Append,Maintainability
MinorPoorCode,Readability,Non_code
MinorPoorDesign (first part); ModerateMissingDocs (side note),Readability,Maintainability
MinorPoorCode (first part); ModeratePoorDesign (second part),Enhance,Efficiency
ModeratePoorCode,Append,Conventions
ModerateUnnecessaryCode,Append,New_Feature
ModeratePoorCode,Fix,Bugs
ModeratePoorCode,Enhance,Efficiency
MinorDeadCode,Redundant,Redundancy
MinorPoorCode,Fix,Bugs
ModeratePoorCode,Enhance,Testing
MinorMissingTests; MinorPoorCode,Append,Testing
MinorPoorTests,Fix,Testing
ModeratePoorCode; ModeratePoorDocs,Readability,Non_code
ModerateOutdatedLicenses,Convention,User_Interaction
MinorOutdatedDocs,Append,Non_code
ModeratePoorDocs,Convention,User_Interaction
MinorMissingDocs,Append,Non_code
ModeratePoorDesign,Fix,Efficiency
MajorComplexCode,Append,Testing
MinorComplexCode,Simplify,Merge_Common_Code
MinorPoorCode; MinorPoorOutput; MinorPoorTests; MinorPoorCode,Enhance,User_Interaction
MinorPoorDesign,Fix,Bugs
MinorPoorDesign,Enhance,User_Interaction
MinorMissingTests,Append,Testing
MinorPoorTests,Convention,Conventions
MinorMissingTests,Append,Testing
,Append / Fix,Testing
MinorPoorDocs,Readability,Non_code
MinorMissingDocs; MinorPoorOutput,Append,Non_code
MinorPoorArchitecture,Simplify,Conventions
MajorPoorArchitecture,Simplify,Maintainability
